Chrom.1,
UV,
ml,mAU
8.423065,0.026391
8.449707,0.026364
8.476349,0.025664
8.502991,0.026523
8.529633,0.027951
8.556274,0.029256
8.582916,0.029839
8.609558,0.030385
8.6362,0.029036
8.662842,0.029151
8.689484,0.029451
8.716156,0.027791
8.742798,0.026798
8.76944,0.027494
8.796082,0.028455
8.822723,0.026233
8.849365,0.024074
8.876007,0.023268
8.902649,0.023038
8.929291,0.023058
8.955933,0.022079
8.982605,0.021397
9.009247,0.022915
9.035889,0.023043
9.062531,0.022839
9.089172,0.02369
9.115814,0.023825
9.142456,0.02631
9.169098,0.023964
9.19574,0.023325
9.222382,0.023285
9.249023,0.022377
9.275696,0.022245
9.302338,0.021332
9.328979,0.022361
9.355621,0.02054
9.382263,0.020519
9.408905,0.020396
9.435547,0.016363
9.462189,0.015649
9.488831,0.017417
9.515472,0.018948
9.542145,0.018556
9.568787,0.019517
9.595428,0.022208
9.62207,0.025008
9.648712,0.023746
9.675354,0.023449
9.701996,0.023739
9.728638,0.02316
9.75528,0.022825
9.781921,0.022807
9.808563,0.0227
9.835236,0.023867
9.861877,0.025295
9.888519,0.025163
9.915161,0.025239
9.941803,0.023747
9.968445,0.024243
9.995087,0.026323
10.021729,0.024936
10.04837,0.024741
10.075012,0.024881
10.101685,0.027918
10.128326,0.028833
10.154968,0.027189
10.18161,0.027897
10.208252,0.029066
10.234894,0.028628
10.261536,0.028394
10.288177,0.02529
10.314819,0.02449
10.341461,0.023373
10.368103,0.0207
10.394775,0.020031
10.421417,0.019461
10.448059,0.01852
10.474701,0.018476
10.501343,0.019203
10.527985,0.01913
10.554626,0.019565
10.581268,0.017824
10.60791,0.017585
10.634552,0.019459
10.661224,0.019086
10.687866,0.016055
10.714508,0.013382
10.74115,0.011656
10.767792,0.010992
10.794434,0.010631
10.821075,0.009342
10.847717,0.011015
10.874359,0.013813
10.901001,0.016076
10.927643,0.018111
10.954315,0.02002
10.980957,0.022005
11.007599,0.021265
